name,ds,origin_sc,origin_tc,origin_rwc,sliced_sc,sliced_tc,sliced_rwc,sliced_boundes
7,9,38.0,54.259542434503,42.36993467098924,29.0,56.92990304241798,48.89742089375717,14
7,10,38.0,54.259542434503,42.36993467098924,28.0,57.91030627862189,50.07305970880096,16
8,1,37.0,52.49405923392165,41.18055592357492,36.0,52.64617275358922,42.751446445312205,1
8,2,37.0,52.49405923392165,41.18055592357492,35.0,52.638534263685834,43.2186812637252,2
8,3,37.0,52.49405923392165,41.18055592357492,34.0,52.05924295233694,42.68999222518292,2
8,4,37.0,52.49405923392165,41.18055592357492,33.0,52.670683387995986,43.54278288041291,4
8,5,37.0,52.49405923392165,41.18055592357492,32.0,53.85307036468494,45.5454702705454,7
8,6,37.0,52.49405923392165,41.18055592357492,31.0,54.64892242849314,46.59089556475899,9
8,7,37.0,52.49405923392165,41.18055592357492,30.0,55.88016801648099,48.08481023606242,12
8,8,37.0,52.49405923392165,41.18055592357492,29.0,56.47574822876641,48.27757202038603,13
8,9,37.0,52.49405923392165,41.18055592357492,28.0,57.45886777143266,49.15023137263123,15
8,10,37.0,52.49405923392165,41.18055592357492,27.0,62.676421821586956,55.49484292470094,22
9,1,38.0,53.51570282957175,42.1628236821147,37.0,53.5049983032863,43.24040379058343,1
9,2,38.0,53.51570282957175,42.1628236821147,36.0,53.506246315017464,43.3505355854706,2
9,3,38.0,53.51570282957175,42.1628236821147,35.0,53.51386421013753,43.35200410183286,3
9,4,38.0,53.51570282957175,42.1628236821147,34.0,53.514683158090605,43.34968902143911,4
9,5,38.0,53.51570282957175,42.1628236821147,33.0,53.515912926685075,43.57347467644732,5
9,6,38.0,53.51570282957175,42.1628236821147,32.0,54.453938256615466,44.592208255104495,7
9,7,38.0,53.51570282957175,42.1628236821147,31.0,55.46332930023497,45.91384328991173,9
9,8,38.0,53.51570282957175,42.1628236821147,30.0,56.24737934029609,47.96197176471896,12
9,9,38.0,53.51570282957175,42.1628236821147,29.0,57.27625323329471,49.171130029209955,14
9,10,38.0,53.51570282957175,42.1628236821147,28.0,59.35700417366264,51.22706267321561,17
10,1,42.0,57.20014812803207,43.6298076481918,41.0,55.711426655035226,45.55996224225801,1
10,2,42.0,57.20014812803207,43.6298076481918,40.0,56.46997762562037,44.09624208471183,2
